,N,rho,Arrival,Sparsity,Mean_Est,CI_Width
0,3,0.9,uniform,0.0,15.522636,0.15978459943082912
1,3,0.9,uniform,0.1,15.44162,0.1604176883789466
2,3,0.9,uniform,0.2,15.584423999999999,0.18926699139116454
3,3,0.9,uniform,0.3,15.544697,0.17380865962551256
4,3,0.9,uniform,0.4,16.059082,0.1547228031417297
5,3,0.9,uniform,0.5,16.553407,0.1786779936056951
6,3,0.9,uniform,0.6,17.956703,0.23428112661175185
7,3,0.9,uniform,0.7,17.442153,0.22510012221706788
8,3,0.9,uniform,0.8,27.619345000000003,1.4965050556842816
9,3,0.9,uniform,0.9,9527.01873,1505.5323184604226
10,3,0.9,diagonal,0.0,11.347990999999997,0.09145877960026698
11,3,0.9,diagonal,0.1,11.322959999999998,0.11379908487767026
12,3,0.9,diagonal,0.2,11.404528,0.1024703084225929
13,3,0.9,diagonal,0.3,11.321515999999999,0.11427535448480831
14,3,0.9,diagonal,0.4,11.389788999999999,0.09682195357530508
15,3,0.9,diagonal,0.5,11.294730999999999,0.10729774845540631
16,3,0.9,diagonal,0.6,11.410059999999998,0.11749152836007877
17,3,0.9,diagonal,0.7,11.406767,0.105110797277427
18,3,0.9,diagonal,0.8,11.949183,0.10398970575457725
19,3,0.9,diagonal,0.9,29.098677,1.8269161108988825
20,3,0.9,skewed_bot,0.0,5.438489999999999,0.07688193252461857
21,3,0.9,skewed_bot,0.1,5.500973,0.06714804995793008
22,3,0.9,skewed_bot,0.2,5.461266,0.06548330241723466
23,3,0.9,skewed_bot,0.3,5.5168750000000015,0.0639301909432656
24,3,0.9,skewed_bot,0.4,5.504697,0.07052388725436871
25,3,0.9,skewed_bot,0.5,5.574814000000001,0.06546220628436018
26,3,0.9,skewed_bot,0.6,5.758217999999999,0.07987440512930805
27,3,0.9,skewed_bot,0.7,6.128198,0.06066987273377679
28,3,0.9,skewed_bot,0.8,8.009639,0.11706240914996803
29,3,0.9,skewed_bot,0.9,58759.828756,9453.564421392124
30,4,0.9,uniform,0.0,24.740195999999997,0.2549826518975741
31,4,0.9,uniform,0.1,24.600017,0.2710375991715665
32,4,0.9,uniform,0.2,24.723625,0.26271309040300067
33,4,0.9,uniform,0.3,24.687632000000004,0.30154753641135784
34,4,0.9,uniform,0.4,25.516495,0.22383033142364064
35,4,0.9,uniform,0.5,26.041833999999998,0.29833227023709225
36,4,0.9,uniform,0.6,29842.136185999996,7921.567900992519
37,4,0.9,uniform,0.7,15898.628675000002,2590.923973958229
38,4,0.9,uniform,0.8,132870.09728400002,21275.03275222683
39,4,0.9,uniform,0.9,266492.78015099996,42495.48152531777
40,4,0.9,diagonal,0.0,15.492981999999998,0.10250081811953321
41,4,0.9,diagonal,0.1,15.610326999999998,0.12939762326836407
42,4,0.9,diagonal,0.2,15.580480999999999,0.12045694256249258
43,4,0.9,diagonal,0.3,15.581596000000001,0.11569058676195006
44,4,0.9,diagonal,0.4,15.656077000000003,0.12458036358815733
45,4,0.9,diagonal,0.5,15.519483000000001,0.13131231445742306
46,4,0.9,diagonal,0.6,15.568359000000001,0.09289164670005914
47,4,0.9,diagonal,0.7,15.680734,0.10901176946818086
48,4,0.9,diagonal,0.8,16.082836999999998,0.12189996550420265
49,4,0.9,diagonal,0.9,76.53428199999999,14.04405518655922
50,4,0.9,skewed_bot,0.0,6.115261,0.07646731255970311
51,4,0.9,skewed_bot,0.1,6.067067,0.08161484352222427
52,4,0.9,skewed_bot,0.2,6.134513000000001,0.08749848463466434
53,4,0.9,skewed_bot,0.3,6.092839000000001,0.06134713967858101
54,4,0.9,skewed_bot,0.4,6.056444,0.06804998377526073
55,4,0.9,skewed_bot,0.5,6.102419000000001,0.06230884550782534
56,4,0.9,skewed_bot,0.6,6.257061,0.06191951323127249
57,4,0.9,skewed_bot,0.7,6.354819,0.07616676983209704
58,4,0.9,skewed_bot,0.8,6.747285,0.06644317524827363
59,4,0.9,skewed_bot,0.9,10.500821,0.14045720557940308
60,5,0.9,uniform,0.0,35.244219,0.3900570251131755
61,5,0.9,uniform,0.1,35.030254000000006,0.3468674482296835
62,5,0.9,uniform,0.2,34.972491999999995,0.28997054854324145
63,5,0.9,uniform,0.3,35.242532,0.37168303520344326
64,5,0.9,uniform,0.4,35.180263999999994,0.28826353780615693
65,5,0.9,uniform,0.5,35.145688,0.3513227940427962
66,5,0.9,uniform,0.6,35.957539,0.3429022551224453
67,5,0.9,uniform,0.7,38.088226,0.3380378388025068
68,5,0.9,uniform,0.8,30222.477435999997,5408.629938496844
69,5,0.9,uniform,0.9,178173.03228999997,28941.33048542142
70,5,0.9,diagonal,0.0,20.294355,0.13406272029871685
71,5,0.9,diagonal,0.1,20.299452000000002,0.13306773614320747
72,5,0.9,diagonal,0.2,20.260863999999998,0.16174485202725472
73,5,0.9,diagonal,0.3,20.29891,0.16509359917180555
74,5,0.9,diagonal,0.4,20.153631,0.1317518831666965
75,5,0.9,diagonal,0.5,20.314020999999997,0.16172535252714423
76,5,0.9,diagonal,0.6,20.273796,0.15041437848278033
77,5,0.9,diagonal,0.7,20.320494,0.14571608215846205
78,5,0.9,diagonal,0.8,20.472309,0.13962219509796212
79,5,0.9,diagonal,0.9,22.665153999999998,0.23691461617761173
80,5,0.9,skewed_bot,0.0,6.786001,0.05902354547112844
81,5,0.9,skewed_bot,0.1,6.751228000000001,0.07145755367133491
82,5,0.9,skewed_bot,0.2,6.685637999999999,0.07805855504383483
83,5,0.9,skewed_bot,0.3,6.720073,0.08200282105793599
84,5,0.9,skewed_bot,0.4,6.791220999999999,0.0767643555267071
85,5,0.9,skewed_bot,0.5,6.753091,0.06985138435556881
86,5,0.9,skewed_bot,0.6,6.771689000000001,0.07704740511113482
87,5,0.9,skewed_bot,0.7,7.023199000000001,0.07219074141833957
