_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
37.027784,1000000,0.17572334,7.5,-0.000877019911090122,-5.292318329655044,2.284517841885835,0.9999999904797475,1,5.63,0.2,8.809694,0.20664047,1.0217222,2.407076,0.02508702
36.097767,1000000,0.43970743,7.5,0.06473721230717387,-5.845375014897055,2.1348823385163223,0.9999999942029192,2,8.53,0.2,5.5832033,0.23646432,1.0034432,2.386197,0.022938112
35.801224,1000000,0.7716075,7.5,0.027620081641786646,-6.16517217591065,1.9569863456347094,0.999999995481694,3,11.48,0.2,22.241549,0.15175386,0.99150234,2.329495,0.032153886
34.923591,1000000,0.9316648,7.5,0.08006572497252534,-8.116843206279112,1.9942795391593255,0.999999995977543,4,15.04,0.2,3.8426971,0.21846397,0.98900527,2.3073082,0.021258125
34.779003,1000000,1.104767,7.5,0.04872680711560565,-5.6036956154076565,1.859904399382488,0.9999999962904906,5,17.96,0.2,3.3990653,0.23971635,0.98961985,2.271552,0.021568023
34.267591,1000000,1.0164165,7.5,0.054101465949927534,-6.2108981278569635,1.8496092577067549,0.9999999964633486,6,20.92,0.2,4.770732,0.19328776,0.9881187,2.2161324,0.024528785
33.286821,1000000,1.1778876,7.5,0.10703534978821255,-6.471317433062374,1.9001562110156887,0.9999999965589159,7,24.6,0.2,3.95267,0.08601349,1.0474455,2.2138302,0.02854919
33.295818,1000000,1.3515431,7.5,0.027771212199929944,-6.6210842088921344,1.7856729236700384,0.9999999966651298,8,27.89,0.2,5.656761,0.21717744,0.98562986,2.1664007,0.028097017
32.700253,1000000,1.4453588,7.5,0.037156077724003075,-7.163985846508505,1.7922468949536678,0.9999999966639572,9,31.22,0.2,3.8302097,0.1552604,0.9947901,2.1213865,0.020440686
32.473878,1000000,1.2311634,7.5,0.03173451172386826,-6.667230376519285,1.7444689988527786,0.9999999967465347,10,34.18,0.2,4.8983455,0.14366435,1.06033,2.1146202,0.021231638
32.156944,1000000,1.4291806,7.5,0.015891457019516164,-6.563605179851415,1.7747361554371277,0.9999999966913644,11,37.07,0.2,3.7382312,0.14711908,1.0548662,2.1098955,0.023151238
32.001341,1000000,1.3957745,7.5,-0.03625021385209642,-7.233438531675585,1.6352424415060034,0.9999999968422827,12,40.0,0.2,15.44616,0.14075562,0.9865881,2.0737379,0.026457248
31.385455,1000000,1.3707274,7.5,-0.014448512176333242,-8.917454799027562,1.5919377205821894,0.9999999968428172,13,43.64,0.2,3.8187518,0.17810342,0.9881099,2.0445983,0.021910368
31.101894,1000000,1.3481812,7.5,0.0066261323434963415,-8.569809150746854,1.6302878339279732,0.9999999967731883,14,47.48,0.2,4.1006236,0.16681165,1.0113361,2.0047596,0.02327382
30.747353,1000000,1.4787614,7.5,0.0017794965487702005,-7.95260283071215,1.6727333881378208,0.9999999967136007,15,50.53,0.2,4.308099,0.16924754,1.0045234,1.9853847,0.024551313
30.434,1000000,1.3377486,7.5,0.03069603831759687,-8.502207883215949,1.7389287697069133,0.9999999966286403,16,53.55,0.2,4.5374117,0.17662221,0.99386585,1.9392763,0.020947509
29.890878,1000000,1.251912,7.5,0.07352864960645539,-7.935882095854624,1.7346067584851643,0.9999999965551125,17,56.74,0.2,5.043705,0.20102026,1.0149342,1.9277239,0.022283904
29.760257,1000000,1.2928275,7.5,0.02111958019083346,-7.409836894523266,1.6246070666568317,0.9999999967358154,18,61.71,0.2,3.6804297,0.13486804,1.0527289,1.9089098,0.01878811
29.562652,1000000,1.4035294,7.5,0.014313613833783021,-6.144565818752233,1.6243953780410336,0.9999999966768258,19,64.92,0.2,7.1988726,0.13212775,0.972137,1.8748521,0.023346255
29.577337,1000000,1.3272396,7.5,-0.005729065821455,-6.626455479432988,1.6111854272443784,0.9999999966546218,20,69.45,0.2,14.331342,0.09729265,0.9852889,1.838314,0.034125105
29.149809,1000000,1.3064315,7.5,0.023778056530023944,-6.44858831858348,1.71719416580304,0.9999999965660603,21,72.89,0.2,4.660888,0.12290551,0.99417424,1.8042569,0.017843874
28.735571,1000000,1.189285,7.5,0.025900330739387425,-8.795301084582242,1.660700443019159,0.9999999966414328,22,77.59,0.2,5.187122,0.15878719,1.0084895,1.8025432,0.023599358
28.58261,1000000,1.4005512,7.5,0.040669977761020805,-6.612973041369939,1.734773077425939,0.999999996452272,23,81.04,0.2,10.879636,0.08544605,0.9875022,1.7627364,0.025365332
28.624249,1000000,1.1095843,7.5,0.026983705237289893,-9.168296448367443,1.6224180188713593,0.9999999966188421,24,85.47,0.2,7.543884,0.10669886,0.94926274,1.7322565,0.022597587
28.280468,1000000,1.2118529,7.5,0.04708022842569982,-9.44553459654892,1.6119143745340627,0.9999999966460296,25,88.87,0.2,18.456947,0.07462464,1.0130982,1.7109154,0.027742835
27.929383,1000000,1.3092734,7.5,0.04940660621688449,-7.753813032283374,1.706671579418092,0.9999999965977446,26,93.42,0.2,7.50464,0.16304877,0.9715155,1.6820184,0.028738147
27.902412,1000000,1.1948482,7.5,0.06265275593109794,-9.182206591569104,1.6605702859237725,0.9999999966292119,27,97.36,0.2,4.153486,0.14754587,0.98526794,1.6497873,0.020612484
27.866414,1000000,1.4494148,7.5,0.057264950757836885,-7.601061978126224,1.6219442146351033,0.9999999966320252,28,100.63,0.2,4.635252,0.13834906,1.0031762,1.6310744,0.015502437
27.243231,1000000,1.1842741,7.5,0.07878587059312364,-7.82577495736783,1.6429071567472504,0.9999999965600753,29,105.06,0.2,5.706211,0.101197585,1.0256923,1.6195666,0.021259705
