_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL
248.147912,1000000,0.0023589109,31.5,-0.0002670545451211207,-4.293517971983724,1.9526595523234551,0.9999999980741827,1,277.72,0.2,3701.9348,0.0004032068,1.0047338,1.8813877,0.044582885
148.261522,1000000,0.0070708394,31.5,1.049995175057887,-5.582681260243518,3.292100415412351,0.9999999976074706,2,292.36,0.2,239.35532,1.4579587e-07,0.9779518,1.8974196,0.057966627
108.306371,1000000,0.011830876,31.5,2.108758218044333,-3.4143303584648073,4.663468302060203,0.9999999968642544,3,306.92,0.2,89.35137,0.000120150224,0.9443624,1.8740405,0.041683942
89.856535,1000000,0.016451789,31.5,2.567858492578143,-4.574156905409864,5.289595191447334,0.9999999965493543,4,321.59,0.2,11234.708,9.978749e-06,0.94241494,1.82261,0.0712108
89.348731,1000000,0.019213002,31.5,2.063552485511983,-3.564694680514189,4.760499616283413,0.9999999967588196,12,347.18,0.2,435.93875,0.00018698197,1.0182531,1.828053,0.044174448
76.196737,1000000,0.018831382,31.5,2.552414551298517,-2.743495647391752,5.217981736740351,0.9999999963134021,13,362.11,0.2,3662.3284,1.3420123e-06,1.0122324,1.7660784,0.05199361
77.430658,1000000,0.023217356,31.5,1.5666416573587099,-3.80251875563348,3.8397913343051386,0.9999999971600062,14,377.31,0.2,453.43127,2.6344414e-05,0.9805144,1.6785588,0.07036379
77.124132,1000000,0.026465792,31.5,1.2394069140971824,-4.229419051120801,3.435437942292525,0.9999999973100974,16,394.64,0.2,19098.82,5.5275665e-05,1.0246068,1.6646332,0.027663391
60.911004,1000000,0.02195773,31.5,2.4254813646682822,-3.682132517277696,4.660511275198818,0.9999999961286428,17,409.92,0.2,136.18053,0.00015658383,0.9864666,1.6168333,0.06517659
61.470216,1000000,0.02312173,31.5,1.8571340273641892,-5.997724575899446,4.003675953095661,0.9999999964007995,19,426.68,0.2,63731.074,3.496591e-05,0.97110015,1.601098,0.06272723
61.504306,1000000,0.022470688,31.5,1.5542665861738532,-11.76925877378324,3.721360574055699,0.9999999964748535,21,445.16,0.2,963769.44,0.0001526539,1.0044229,1.6000665,0.08403394
61.449937,1000000,0.023596825,31.5,1.377833416157761,-4.919663725905468,3.6189931303235165,0.9999999963285904,23,462.97,0.2,750368.94,0.00034782704,1.1081144,1.6030453,0.042641692
61.69417,1000000,0.02242515,31.5,0.6911057191070015,-7.765490410476194,2.267070573570677,0.9999999975689593,24,478.31,0.2,13034.515,1.3261617e-07,0.8153609,1.5193944,0.17406172
62.41142,1000000,0.025159923,31.5,0.5178547198728599,-8.567858393420078,2.090636741909104,0.9999999977700541,31,503.42,0.2,6321.5605,0.0003201831,0.87631786,1.5322659,0.088901244
61.701294,1000000,0.026417507,31.5,0.49928362905427537,-9.00837258547375,2.039990060364862,0.999999997670387,33,524.27,0.2,528397.8,9.701593e-06,1.0171915,1.5472897,0.075122565
57.524547,1000000,0.023012944,31.5,0.8697306933577255,-8.202702762310295,2.7726694303286425,0.9999999967147939,34,541.38,0.1,52390.516,9.856349e-05,0.96416503,1.4999071,0.024398807
57.220151,1000000,0.024021195,31.5,0.753309057344963,-6.335652400339699,2.853156663872375,0.9999999967075474,36,559.41,0.1,58.304432,8.500688e-06,1.0511562,1.5060289,0.02103792
48.297425,1000000,0.018544314,31.5,1.3999513600943971,-5.22126485014088,3.417484163575501,0.9999999954766504,37,574.73,0.1,53.35989,0.00044089128,0.9831986,1.463544,0.009066234
45.79757,1000000,0.017309546,31.5,1.4754703573591883,-7.606402146119345,3.612946517516383,0.9999999949869407,38,590.79,0.1,10144.487,0.0018475017,0.91396874,1.4358721,0.047616657
46.325934,1000000,0.017975751,31.5,1.0290911085815657,-12.790927492773408,2.8525936078189447,0.9999999957585008,40,608.0,0.1,306.12054,8.523234e-05,0.99196744,1.4262087,0.008705527
44.149024,1000000,0.015105089,31.5,1.2860065456732575,-4.8115559047515974,3.5324285968655746,0.9999999945802696,41,623.85,0.1,17.067488,0.0014700455,1.0517871,1.4097148,0.0063447007
