_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
7.049564,500000,0.6335928,10.1795898989899,-0.003670831603102072,-6.88217451871965,1.5647510858325355,0.9999999899522823,1,0.79,0.2,7.8725605,0.02826319,0.9999416,1.2946823,0.024447704,1
6.835416,500000,0.9634383,10.124086868686868,0.026031468294694642,-10.234615575627952,1.5818190994777979,0.9999999917602991,2,1.69,0.2,7.26882,0.048273027,1.0000553,1.2698036,0.022194363,1
6.766862,500000,0.99800843,10.100145454545455,0.05185619034358043,-7.558155857238618,1.5113479302588844,0.9999999924910132,3,2.55,0.2,8.261287,0.09390366,1.000004,1.2544593,0.022311846,1
6.742386,500000,1.1430368,10.055339393939393,0.038241179253936816,-10.035977119838003,1.4667227289068905,0.9999999927153366,4,3.43,0.2,5.6213818,0.12867185,1.000514,1.2099507,0.018677404,1
6.724906,500000,1.1830778,10.048448484848485,0.034218183292372036,-8.31616194900968,1.464023139243333,0.9999999927281554,5,4.3,0.2,5.084937,0.10556423,1.0002365,1.1669439,0.015777886,1
6.441424,500000,1.0355299,10.013725252525253,0.09445243666999129,-10.497436563383708,1.4731464562729446,0.9999999925515732,6,5.18,0.2,6.182385,0.11218381,0.9996819,1.130655,0.01578912,1
6.379262,500000,0.958389,9.96599393939394,0.11104716681106998,-9.646090025524868,1.5046802933053693,0.9999999924750431,7,6.05,0.2,3.7012541,0.14710604,0.9999843,1.1123847,0.009569335,1
6.29731,500000,0.9501842,9.911018181818182,0.14888494566106844,-8.465381789704402,1.5376304523251563,0.9999999922970414,8,6.95,0.2,4.3263216,0.043702703,0.9995694,1.0644301,0.017334132,1
15.217256,500000,579.9344,9.828082828282827,0.0021740792251160063,-12.507187444209505,0.19570242312166852,0.9999999996556258,9,7.85,0.2,398.67624,1.6074117e-10,0.98673195,1.0644779,0.2049062,1
6.219294,500000,1.0695432,9.838165656565657,2.3942341613745333,-9.263871480735911,3.808196144565581,0.9999999926162126,10,8.75,0.2,3.6470985,0.084327,0.9999509,1.0294849,0.00869808,1
6.21211,500000,0.99603236,9.855086868686868,1.9802424906160119,-8.53781581710021,3.2758539600007515,0.9999999926617633,11,9.62,0.2,8.078541,0.012906303,0.99975294,1.0205169,0.012528599,1
6.249552,500000,1.135961,9.905856565656565,1.5085695491708468,-9.705916101041824,2.7513693470753067,0.9999999932903355,12,10.5,0.2,3.8094718,0.1074111,0.9998702,0.991697,0.0079571465,1
6.255076,500000,1.1194075,9.947040404040404,1.300107492376255,-12.111253880438476,2.612553774460433,0.9999999931255357,13,11.39,0.2,6.186073,0.14041872,0.9997733,0.98668057,0.009449443,1
6.31189,500000,1.0670607,9.90451111111111,1.0827647380753802,-11.271650173831878,2.3753900379397006,0.9999999931726055,14,12.29,0.2,5.2000465,0.08725021,1.0001276,0.9774009,0.009699707,1
6.250568,500000,1.134118,9.895515151515152,0.9881793832672437,-9.51651061811108,2.3188016591481904,0.9999999928047464,15,13.17,0.2,3.5171,0.23952056,1.000186,0.97200924,0.007168458,1
6.328524,500000,1.2217433,9.939866666666667,0.7590319464468486,-9.890339054213735,2.0413903940554716,0.9999999932207346,16,14.07,0.1,2.259893,0.40113878,0.99986553,0.95777375,0.0027511665,0.5
6.165186,500000,1.0669258,9.915587878787878,0.6995339989880572,-12.068662807929895,1.9883114712657999,0.9999999927767517,17,14.95,0.1,2.2901828,0.23856468,0.99988514,0.951793,0.0025730778,0.5
6.187714,500000,1.0408999,9.887224242424242,0.5290647273538445,-14.372741435959087,1.7718801960032668,0.9999999933126504,18,15.85,0.1,2.7560375,0.24879977,1.00009,0.9433344,0.0033123766,0.5
6.164754,500000,1.1375663,9.899327272727273,0.45977565432503786,-8.227035878207898,1.7213458880410732,0.999999992867786,19,16.75,0.1,3.815743,0.37645343,1.0001405,0.9420563,0.003033214,0.5
6.112844,500000,1.0881876,9.91941414141414,0.41047590962517855,-9.795221404134633,1.7138552860369796,0.9999999926724589,20,17.65,0.1,2.1416142,0.43555018,1.0000772,0.9237543,0.0028481046,0.5
6.187456,500000,1.1904362,9.909,0.30773949741215806,-11.563176079940085,1.5659721175259147,0.9999999930415027,21,18.53,0.1,4.1178293,0.19861223,1.0001258,0.9210586,0.0042176973,0.5
6.178716,500000,1.0372269,9.921355555555555,0.29030405423311084,-9.985384368971223,1.6239328032959615,0.9999999926291653,22,19.44,0.05,2.3626924,0.37263533,0.99982965,0.9147278,0.0013811324,0.25
6.140626,500000,1.1178167,9.915911111111111,0.25207150621040614,-8.612409203141175,1.5812092155210307,0.9999999925656158,23,20.32,0.05,2.0856354,0.51776224,0.9999186,0.9163536,0.0011393612,0.25
6.038942,500000,0.93373996,9.931557575757576,0.24496905478811468,-10.194612258147156,1.5788411301970773,0.9999999922619304,24,21.22,0.05,2.133937,0.18912992,0.999904,0.90800154,0.0017340495,0.25
6.142552,500000,1.0047642,9.909860606060606,0.18441802878945998,-10.09685278462315,1.4359968410553081,0.9999999928032691,25,22.11,0.05,2.0185971,0.33936018,0.99996364,0.9048662,0.0011272108,0.25
6.099312,500000,1.0572401,9.895212121212122,0.2007461656427614,-11.416197088832757,1.5290260995716076,0.9999999924076743,26,23.0,0.05,1.827426,0.3798738,0.99990916,0.9017985,0.0010240831,0.25
6.058962,500000,1.0769526,9.874331313131313,0.15665994157437088,-10.825942833852942,1.3650554669754065,0.9999999928153435,27,23.88,0.05,2.0859194,0.43526408,0.9999796,0.9017729,0.0015253488,0.25
6.14317,500000,1.2384591,9.877442424242425,0.07375453033308817,-10.841878472972233,1.2470706233122284,0.9999999934299945,28,24.78,0.05,2.7604501,0.22379315,1.0000461,0.8957293,0.0018895454,0.25
6.110058,500000,1.029481,9.856561616161617,0.10548891934436912,-9.717063161292554,1.4316587801961262,0.9999999925616829,29,25.67,0.05,1.561712,0.59734327,1.0000131,0.89537156,0.0010864298,0.25
6.002404,500000,0.9778996,9.860947474747475,0.112558933137993,-11.186161410369845,1.4676545602300457,0.9999999920863472,30,26.57,0.05,2.2551858,0.42603853,1.0000682,0.8929515,0.0012864353,0.25
6.13441,500000,1.3470881,9.848218181818181,0.069923608170418,-14.335574128383819,1.2252929957304504,0.9999999934962559,31,27.46,0.05,1.6705722,0.5137079,0.9998807,0.8866241,0.0015019996,0.25
6.081766,500000,1.0714116,9.858947474747474,0.06344271335954223,-10.787927971550959,1.3265526351523893,0.9999999928686356,32,28.34,0.05,2.4965441,0.47973946,0.9999942,0.8867399,0.0013620117,0.25
5.999128,500000,1.0840967,9.866672727272727,0.058637037358771786,-9.62051604737792,1.322086321473344,0.9999999928772448,33,29.23,0.025,1.6596965,0.6120151,0.99992114,0.8834097,0.00075436314,0.125
6.03073,500000,1.1506867,9.88219595959596,0.03987568182989149,-11.888803697994815,1.2201602626504626,0.9999999930346193,34,30.13,0.025,1.4986598,0.5756885,0.99997663,0.87995327,0.000440266,0.125
6.080572,500000,1.0160036,9.863753535353535,0.005888490631992848,-11.305048948733013,1.2132704612722058,0.9999999928193136,35,31.02,0.025,1.5300062,0.47709823,0.99986815,0.87924004,0.0008505449,0.125
