_AverageReward,Steps,ValFuncLoss,_mean_act,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,_time_from_beginning_in_minutes,Clipping,Max ratio,Min ratio,Mean ratio,PolicyEntropy,KL,_lr_multiplier
179.00971,500000,0.08141169,59.385141414141415,-1.6633431381756605,-5.926528673150316,1.8406111957641302,0.999999999335483,1,5.73,0.2,3.1963606,0.2745523,0.9972348,4.7451406,0.037829813,1
133.798486,500000,0.11798737,60.10185454545454,-1.327560636495333,-5.895942296992617,2.2283406073532452,0.9999999993403064,2,11.87,0.2,3.3287113,0.23101549,1.0001398,4.6976204,0.049076796,1
101.04825,500000,0.13280846,59.40931717171717,-0.7469580059597917,-4.9449270147391005,3.061988834143418,0.9999999991037979,3,18.29,0.2,3.3307834,0.19847746,1.0005792,4.629132,0.050195895,1
84.402324,500000,0.17439269,59.496175757575756,-0.3953098868322514,-6.223606385009651,2.793348771421094,0.9999999989481196,4,24.56,0.2,3.0196824,0.17960963,0.9998381,4.556558,0.045618165,1
74.501064,500000,0.10901691,59.2025898989899,-0.22280419707258287,-7.25873440890176,2.4552894438576334,0.9999999989310103,5,30.78,0.2,3.2553024,0.20429105,1.0005523,4.4743643,0.040679216,1
67.5804,500000,0.114492275,59.20357171717172,-0.23253628426241513,-6.270211712182139,2.4193777580725504,0.9999999987979662,6,36.95,0.2,2.6960204,0.21532261,0.9999338,4.3782845,0.039385863,1
62.161536,500000,0.11809792,58.8957797979798,-0.2831844561763166,-6.1025915406538065,2.0858092155664307,0.9999999987115042,7,43.26,0.2,2.7804441,0.18989618,0.99939096,4.2883234,0.039220784,1
59.02573,500000,0.10042119,59.09554747474748,-0.4320176878595536,-6.69671025308716,1.854952963410621,0.9999999987035993,8,49.33,0.2,3.2318182,0.20807779,1.0002229,4.189747,0.037690666,1
55.842166,500000,0.097612835,59.2867898989899,-0.4761305622385998,-6.444871804161927,1.8114517907382415,0.9999999986622644,9,55.38,0.2,3.6288943,0.108414374,0.99997824,4.0932064,0.03792475,1
53.32068,500000,0.103471264,59.259438383838386,-0.5509755063858189,-5.695915097599383,1.8375727048230273,0.9999999986430123,10,61.42,0.2,6.020975,0.10003958,1.000611,3.986656,0.036216453,1
